Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha	extinction_beta	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha	speciation_beta
77	-56424.9	-56423.27	-1.627329	0.0124103	0.0124103	0.00849385	0.00849385	-4.38923	-0.3791835	0.01487805	0.2417673	0.01005567	0.02322502	0.393887	0.55918	0.00116972	0.0457627	0.0702586	0.0702586	0.288702	0.288702	-2.655572	1.413212
78	-56500.62	-56501.16	0.5418523	0.060985	0.060985	0.0417394	0.0417394	-2.797127	-0.3791835	0.01487805	0.1689554	0.004406701	0.01524573	0.408153	0.516758	0.00187147	0.0732173	0.0623531	0.0623531	0.251265	0.251265	-2.774942	1.393694
79	-56417.26	-56416.04	-1.212334	0.0128328	0.0128328	0.00558727	0.00558727	-4.355753	-0.8315104	0.009158299	0.1534203	0.004406701	0.01648446	0.0985132	0.712681	0.0878294	0.100977	0.0649309	0.0649309	0.274863	0.274863	-2.734432	1.442948
80	-56425.04	-56424.62	-0.4250558	0.0274107	0.0274107	0.0119344	0.0119344	-3.596823	-0.8315104	0.009158299	0.1203682	0.009158204	0.0156215	0.104431	0.755493	0.0944384	0.045637	0.0649309	0.0649309	0.228837	0.228837	-2.734432	1.259685
81	-56411.86	-56410.32	-1.543147	0.010472	0.010472	0.0107931	0.0107931	-4.559051	0.03020124	0.005275836	0.1258877	0.007113767	0.03071298	0.346121	0.275239	0.255278	0.123362	0.0633756	0.0633756	0.223355	0.223355	-2.758676	1.259685
82	-56422.05	-56421.53	-0.5174819	0.023365	0.023365	0.00944572	0.00944572	-3.756517	-0.9056768	0.008771048	0.172961	0.007113767	0.01740285	0.298521	0.13705	0.220171	0.344258	0.0725358	0.0725358	0.235991	0.235991	-2.623676	1.179712
83	-56420.79	-56420.02	-0.7727546	0.0150075	0.0150075	0.019669	0.019669	-4.199204	0.2704938	0.01126763	0.1363838	0.006349535	0.02575885	0.448083	0.115631	0.145832	0.290454	0.0725358	0.0725358	0.231913	0.231913	-2.623676	1.162283
84	-56420.17	-56420.27	0.1082655	0.0414826	0.0414826	0.0543675	0.0543675	-3.182482	0.2704938	0.00103139	0.1215814	0.006349535	0.02776333	0.18229	0.15867	0.257259	0.401782	0.0737709	0.0737709	0.266479	0.266479	-2.606791	1.284331
85	-56404.43	-56402.38	-2.047452	0.00895318	0.00895318	0.0102692	0.0102692	-4.715747	0.1371452	0.004833907	0.1471945	0.01191632	0.02776333	0.423419	0.111881	0.181397	0.283303	0.0685899	0.0685899	0.247764	0.247764	-2.67961	1.284331
86	-56420.76	-56420.18	-0.5814135	0.0198987	0.0198987	0.0125164	0.0125164	-3.917101	-0.4636132	0.004833907	0.09128544	0.006277872	0.02713758	0.136712	0.205079	0.138909	0.519299	0.0628061	0.0628061	0.218448	0.218448	-2.767703	1.246494
