Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	log_extinction[1]	log_extinction[2]	log_speciation[1]	log_speciation[2]	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	speciation[1]	speciation[2]
142	-56403.03	-56399.16	-3.867651	0.0199081	0.00981555	-3.91663	-4.62379	-1.99376	-2.0573	0.00361506	0.03062385	0.127015	0.872985	0.136182	0.127799
143	-56413.78	-56409.67	-4.107039	0.0123744	0.0138857	-4.39213	-4.27689	-2.12369	-2.04568	0.00361506	0.04160669	0.249393	0.750607	0.119589	0.129292
144	-56410.66	-56405.23	-5.429465	0.00795927	0.0105745	-4.83342	-4.54931	-2.14512	-2.04568	0.004965397	0.04286685	0.249393	0.750607	0.117054	0.129292
145	-56397.97	-56391.34	-6.631536	0.00795927	0.00473078	-4.83342	-5.35367	-2.0134	-2.13444	0.00393638	0.02811933	0.0604104	0.93959	0.133534	0.118311
146	-56406.62	-56402.43	-4.183456	0.015277	0.0114824	-4.18141	-4.46694	-2.07869	-2.13444	0.00393638	0.04635701	0.0604104	0.93959	0.125094	0.118311
147	-56397.42	-56392.2	-5.224715	0.00370205	0.0481476	-5.59887	-3.03348	-2.07869	-1.91796	0.005350994	0.02582857	0.747644	0.252356	0.125094	0.146906
148	-56399.72	-56391.4	-8.314462	0.00165944	0.01509	-6.40128	-4.19372	-2.07869	-2.0578	0.005350994	0.02085898	0.09128	0.90872	0.125094	0.127735
149	-56412.16	-56400.57	-11.59181	0.000699462	0.01509	-7.2652	-4.19372	-2.14675	-2.05783	0.005350994	0.04933251	0.09128	0.90872	0.116863	0.12773
150	-56410.64	-56402.37	-8.270302	0.0015641	0.0280716	-6.46044	-3.573	-2.10027	-2.02651	0.005350994	0.05147505	0.053452	0.946548	0.122424	0.131794
151	-56392.68	-56386.01	-6.678265	0.00264465	0.0280716	-5.93522	-3.573	-2.05428	-2.02651	0.005350994	0.04115571	0.053452	0.946548	0.128185	0.131794
